ORF,GENE,s coeff nominal,s coeff nacl,DIFF,Name,Function
YPR186C,PZF1,0.004339276,0.007921842,0.003582566,Putative Zinc Finger,Transcription factor IIIA (TFIIIA); essential DNA binding protein required for transcription of 5S rRNA by RNA polymerase III; not involved in transcription of other RNAP III genes; nine conserved zinc fingers; may also bind 5S rRNA
YGL091C,NBP35,0.004426999,0.002344548,0.00208245,Nucleotide Binding Protein,Essential iron-sulfur cluster binding protein localized in the cytoplasm; forms a complex with Cfd1p that is involved in iron-sulfur protein assembly in the cytosol; similar to P-loop NTPases
YJL002C,OST1,0.004463766,0.000462626,0.004001139,OligoSaccharylTransferase,"Alpha subunit of the oligosaccharyltransferase complex of the ER lumen, which catalyzes asparagine-linked glycosylation of newly synthesized proteins"
YLR086W,SMC4,0.004467883,-0.001943328,0.006411211,Structural Maintenance of Chromosomes,Subunit of the condensin complex; reorganizes chromosomes during cell division; forms a complex with Smc2p that has ATP-hydrolyzing and DNA-binding activity; required for tRNA gene clustering at the nucleolus; potential Cdc28p substrate
YCR052W,RSC6,0.004484967,0.0058857,0.001400734,Remodel the Structure of Chromatin,Component of the RSC chromatin remodeling complex; essential for mitotic growth; homolog of SWI/SNF subunit Swp73p
YJL050W,MTR4,0.004491586,-0.033994591,0.038486177,Mrna TRansport,"ATP-dependent 3'-5' RNA helicase of the DExD/H family; involved in nuclear RNA processing and degradation both as a component of the TRAMP complex and in TRAMP-independent processes; contains an arch domain, composed of two coiled-coil arms/stalks and a globular fist/KOW domain, that has RNA binding activity and is required for 5.8S rRNA processing"
YBR121C,GRS1,0.00454367,0.005247306,0.000703635,Glycyl-tRNA Synthase,Cytoplasmic and mitochondrial glycyl-tRNA synthase that ligates glycine to the cognate anticodon bearing tRNA; transcription termination factor that may interact with the 3'-end of pre-mRNA to promote 3'-end formation
YLR316C,TAD3,0.00464163,0.004399183,0.000242447,tRNA-specific Adenosine Deaminase,"Subunit of tRNA-specific adenosine-34 deaminase, forms a heterodimer with Tad2p that converts adenosine to inosine at the wobble position of several tRNAs"
YGR120C,COG2,0.004672774,-0.006302655,0.010975429,Conserved Oligomeric Golgi complex,"Essential component of the conserved oligomeric Golgi complex (Cog1p through Cog8p), a cytosolic tethering complex that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments"
YEL058W,PCM1,0.004714306,0.001837961,0.002876345,PhosphoaCetylglucosamine Mutase,"Essential N-acetylglucosamine-phosphate mutase; converts GlcNAc-6-P to GlcNAc-1-P, which is a precursor for the biosynthesis of chitin and for the formation of N-glycosylated mannoproteins and glycosylphosphatidylinositol anchors"
YCR012W,PGK1,0.004716644,0.006206761,0.001490118,3-PhosphoGlycerate Kinase,"3-phosphoglycerate kinase, catalyzes transfer of high-energy phosphoryl groups from the acyl phosphate of 1,3-bisphosphoglycerate to ADP to produce ATP; key enzyme in glycolysis and gluconeogenesis"
YML093W,UTP14,0.004744868,-0.00026417,0.005009037,U Three Protein,Subunit of U3-containing Small Subunit (SSU) processome complex involved in production of 18S rRNA and assembly of small ribosomal subunit
YOR149C,SMP3,0.004763815,0.007641942,0.002878127,0,"Alpha 1,2-mannosyltransferase involved in glycosyl phosphatidyl inositol (GPI) biosynthesis; required for addition of the fourth, side branching mannose to the GPI core structure"
YDR177W,UBC1,0.004814795,0.013910467,0.009095671,UBiquitin-Conjugating,Ubiquitin-conjugating enzyme that mediates selective degradation of short-lived and abnormal proteins; plays a role in vesicle biogenesis and ER-associated protein degradation (ERAD); component of the cellular stress response
YGL145W,TIP20,0.004876378,0.012956298,0.00807992,SEC20 (Twenty) Interacting Protein,Peripheral membrane protein required for fusion of COPI vesicles with the ER; prohibits back-fusion of COPII vesicles with the ER; forms a tethering complex with Sec39p and Dsl1p that interacts with ER SNAREs Sec20p and Use1p
YLR010C,TEN1,0.004891229,0.010104934,0.005213705,TElomeric pathways with STn1,Protein that regulates telomeric length; protects telomeric ends in a complex with Cdc13p and Stn1p
YDR172W,SUP35,0.004900566,-0.001799445,0.006700011,SUPpressor,"Translation termination factor eRF3, has a role in mRNA deadenylation and decay; altered protein conformation creates the [PSI(+)] prion that alters translational fidelity and results in a nonsense suppressor phenotype"
YDR164C,SEC1,0.004914546,-0.001732886,0.006647432,SECretory,Sm-like protein involved in docking and fusion of exocytic vesicles; binds to assembled SNARE complexes at the membrane and stimulates membrane fusion; localization to sites of secretion (bud neck and bud tip) is dependent on SNARE function
YKL193C,SDS22,0.004928941,-0.00555491,0.010483851,homolog of S. pombe SDS22,Regulatory subunit of the type 1 protein phosphatase (PP1) Glc7p; whether it functions as a positive or negative regulator of Glc7p is controversial; involved in the regulation of Glc7p nuclear localization and function
YJR016C,ILV3,0.004936981,0.008576347,0.003639365,IsoLeucine-plus-Valine requiring,"Dihydroxyacid dehydratase, catalyzes third step in the common pathway leading to biosynthesis of branched-chain amino acids"
YPL122C,TFB2,0.004942327,0.00939565,0.004453323,Transcription initiation Factor IIB,"Subunit of TFIIH and nucleotide excision repair factor 3 complexes, involved in transcription initiation, required for nucleotide excision repair, similar to 52 kDa subunit of human TFIIH"
YDL060W,TSR1,0.004968186,-0.009454174,0.01442236,Twenty S rRNA accumulation,Protein required for processing of 20S pre-rRNA in the cytoplasm; associates with pre-40S ribosomal particles; inhibits the premature association of 60S subunits with assembling 40S subunits in the cytoplasm; similar to Bms1p
YFL002C,SPB4,0.004968907,-0.004621197,0.009590103,Suppressor of PAB1,"Putative ATP-dependent RNA helicase, nucleolar protein required for synthesis of 60S ribosomal subunits at a late step in the pathway; sediments with 66S pre-ribosomes in sucrose gradients"
YNL163C,RIA1,0.004983278,0.000791056,0.004192222,RIbosome Assembly,"Cytoplasmic GTPase involved in ribosomal biogenesis; with Sdo1p, promotes release of Tif6p from 60S ribosomal subunits in the cytoplasm so that they can assemble with 40S subunits to generate mature ribosomes"
YGR140W,CBF2,0.005003498,-0.003831443,0.008834941,Centromere-Binding Factor,"Essential kinetochore protein, component of the CBF3 multisubunit complex that binds to the CDEIII region of the centromere; Cbf2p also binds to the CDEII region possibly forming a different multimeric complex, ubiquitinated in vivo"
YFR028C,CDC14,0.005024966,-0.023307255,0.028332221,Cell Division Cycle,"Protein phosphatase required for mitotic exit; located in the nucleolus until liberated by the FEAR and Mitotic Exit Network in anaphase, enabling it to act on key substrates to effect a decrease in CDK/B-cyclin activity and mitotic exit; required for meiosis I spindle disassembly; released from nucleolus upon entry into anaphase I of meiosis, resequestered in metaphase II, then released again upon entry into anaphase II; maintained in nucleolus by Cdc55p in early meiosis"
YCR057C,PWP2,0.00503364,0.001617347,0.003416293,Periodic tryptophan (W) Protein,"Conserved 90S pre-ribosomal component essential for proper endonucleolytic cleavage of the 35 S rRNA precursor at A0, A1, and A2 sites; contains eight WD-repeats; PWP2 deletion leads to defects in cell cycle and bud morphogenesis"
YFR004W,RPN11,0.005069937,0.0277925,0.022722564,Regulatory Particle Non-ATPase,"Metalloprotease subunit of the 19S regulatory particle of the 26S proteasome lid; couples the deubiquitination and degradation of proteasome substrates; involved, independent of catalytic activity, in fission of mitochondria and peroxisomes"
YJR064W,CCT5,0.005099344,0.004137783,0.00096156,Chaperonin Containing TCP-1,"Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo"
YER125W,RSP5,0.005106864,0.010872581,0.005765718,Reverses Spt- Phenotype,"E3 ubiquitin ligase of the NEDD4 family; involved in regulating many cellular processes including MVB sorting, heat shock response, transcription, endocytosis, and ribosome stability; human homolog is involved in Liddle syndrome; mutant tolerates aneuploidy; ubiquitylates Sec23p"
YDR464W,SPP41,0.005108692,-0.011730787,0.016839479,Suppressor of PrP4,Protein involved in negative regulation of expression of spliceosome components PRP4 and PRP3
YDL235C,YPD1,0.00513965,0.011312606,0.006172957,tyrosine (Y) Phosphatase Dependent,"Phosphorelay intermediate protein, phosphorylated by the plasma membrane sensor Sln1p in response to osmotic stress and then in turn phosphorylates the response regulators Ssk1p in the cytosol and Skn7p in the nucleus"
YNL258C,DSL1,0.005177183,0.000520233,0.004656949,Dependence on SLy1-20,Peripheral membrane protein needed for Golgi-to-ER retrograde traffic; forms a complex with Sec39p and Tip20p that interacts with ER SNAREs Sec20p and Use1p; component of the ER target site that interacts with coatomer; interacts with Cin5p; similar to the fly and human ZW10 gene
YMR028W,TAP42,0.005198927,0.002565124,0.002633803,Two A phosphatase Associated Protein,Essential protein involved in the TOR signaling pathway; physically associates with the protein phosphatase 2A and the SIT4 protein phosphatase catalytic subunits
YIL078W,THS1,0.005201916,0.003318612,0.001883303,THreonyl tRNA Synthetase,"Threonyl-tRNA synthetase, essential cytoplasmic protein"
YBR102C,EXO84,0.005230138,-0.009358886,0.014589023,EXOcyst,"Essential protein with dual roles in spliceosome assembly and exocytosis; the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, and Exo84p) mediates polarized targeting of secretory vesicles to active sites of exocytosis"
YOR329C,SCD5,0.005255449,-0.007695592,0.012951041,Suppressor of Clathrin Deficiency,Protein required for normal actin organization and endocytosis; targeting subunit for protein phosphatase type 1; undergoes Crm1p-dependent nuclear-cytoplasmic shuttling; multicopy suppressor of clathrin deficiency
YGR116W,SPT6,0.005294256,-0.015354998,0.020649254,SuPpressor of Ty's,"Nucleosome remodeling protein; functions in various aspects of transcription, chromatin maintenance, and RNA processing; required for the maintenance of chromatin structure during transcription in order to inhibit transcription from promoters within the coding region"
YJL167W,ERG20,0.00531449,-0.002914283,0.008228774,ERGosterol biosynthesis,"Farnesyl pyrophosphate synthetase, has both dimethylallyltranstransferase and geranyltranstransferase activities; catalyzes the formation of C15 farnesyl pyrophosphate units for isoprenoid and sterol biosynthesis"
YKL058W,TOA2,0.00531651,0.008592921,0.003276411,0,"TFIIA small subunit; involved in transcriptional activation, acts as antirepressor or as coactivator; homologous to smallest subunit of human and Drosophila TFIIA"
YER147C,SCC4,0.005340734,0.000856742,0.004483993,Sister Chromatid Cohesion,"Subunit of cohesin loading factor (Scc2p-Scc4p), a complex required for the loading of cohesin complexes onto chromosomes; involved in establishing sister chromatid cohesion during double-strand break repair via phosphorylated histone H2AX"
YHR083W,SAM35,0.005368144,0.003301958,0.002066186,Sorting and Assembly Machinery,"Essential component of the sorting and assembly machinery (SAM complex or TOB complex) of the mitochondrial outer membrane, which binds precursors of beta-barrel proteins and facilitates their insertion into the outer membrane"
YLR336C,SGD1,0.005404709,0.001779168,0.003625541,Suppressor of Glycerol Defect,"Essential nuclear protein, required for biogenesis of the small ribosomal subunit; has a possible role in the osmoregulatory glycerol response; putative homolog of human NOM1 which is implicated in acute myeloid leukemia"
YHR042W,NCP1,0.005423711,0.006306884,0.000883172,0,NADP-cytochrome P450 reductase; involved in ergosterol biosynthesis; associated and coordinately regulated with Erg11p
YBR198C,TAF5,0.005424772,-0.001109933,0.006534705,TATA binding protein-Associated Factor,"Subunit (90 kDa) of TFIID and SAGA complexes, involved in RNA polymerase II transcription initiation and in chromatin modification"
YOR056C,NOB1,0.005446019,0.009616627,0.004170608,Nin1 (One) Binding protein,Essential nuclear protein involved in proteasome maturation and synthesis of 40S ribosomal subunits; required for cleavage of the 20S pre-rRNA to generate the mature 18S rRNA
YPL020C,ULP1,0.005462167,-0.003900623,0.00936279,Ubiquitin-Like Protein,Protease that specifically cleaves Smt3p protein conjugates; required for cell cycle progression; associates with nucleoporins and may interact with septin rings during telophase; sequestered to the nucleolus under stress conditions
YOR336W,KRE5,0.005504073,-0.001466237,0.00697031,Killer toxin REsistant,"Protein required for beta-1,6 glucan biosynthesis; mutations result in aberrant morphology and severe growth defects"
YDR473C,PRP3,0.005539103,0.008531306,0.002992202,Pre-mRNA Processing,"Splicing factor, component of the U4/U6-U5 snRNP complex"
YFR051C,RET2,0.005584526,-0.000117145,0.005701671,RETrieval from ER,"Delta subunit of the coatomer complex (COPI), which coats Golgi-derived transport vesicles; involved in retrograde transport between Golgi and ER"
YLR007W,NSE1,0.005670087,-0.004168164,0.009838251,Non-SMC Element,Component of the SMC5-SMC6 complex; this complex plays a key role in the removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair
YJL025W,RRN7,0.005701035,-0.002010322,0.007711358,Regulation of RNA polymerase I,"Component of the core factor (CF) rDNA transcription factor complex; CF is required for transcription of 35S rRNA genes by RNA polymerase I and is composed of Rrn6p, Rrn7p, and Rrn11p"
YDR235W,PRP42,0.005823965,-0.002750397,0.008574362,Pre-mRNA Processing,"U1 snRNP protein involved in splicing, required for U1 snRNP biogenesis; contains multiple tetriatricopeptide repeats"
YPL146C,NOP53,0.005833241,0.004807657,0.001025583,NucleOlar Protein,Nucleolar protein; involved in biogenesis of the 60S subunit of the ribosome; interacts with rRNA processing factors Cbf5p and Nop2p; null mutant is viable but growth is severely impaired
YDR498C,SEC20,0.005838277,0.007733025,0.001894748,SECretory,Membrane glycoprotein v-SNARE involved in retrograde transport from the Golgi to the ER; required for N- and O-glycosylation in the Golgi but not in the ER; interacts with the Dsl1p complex through Tip20p
YKR004C,ECM9,0.00585476,0.00675778,0.00090302,ExtraCellular Mutant,Non-essential protein of unknown function
YDL008W,APC11,0.005858796,0.007473657,0.001614862,Anaphase Promoting Complex,"Catalytic core subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; contains a RING-H2 domain that is required for activity"
YLL034C,RIX7,0.005893068,0.005132309,0.000760758,RIbosome eXport,"Putative ATPase of the AAA family, required for export of pre-ribosomal large subunits from the nucleus; distributed between the nucleolus, nucleoplasm, and nuclear periphery depending on growth conditions"
YKL141W,SDH3,0.005934507,0.009058632,0.003124124,Succinate DeHydrogenase,"Subunit of both succinate dehydrogenase and of TIM22 translocase; functions as the cytochrome b subunit of succinate dehydrogenase, which couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; also required for mitochondrial inner membrane protein import as part of the TIM22 complex"
YPL117C,IDI1,0.00593723,0.006046742,0.000109511,Isopentenyl Diphosphate Isomerase,"Isopentenyl diphosphate:dimethylallyl diphosphate isomerase (IPP isomerase), catalyzes an essential activation step in the isoprenoid biosynthetic pathway; required for viability"
YBR110W,ALG1,0.006068407,0.002977174,0.003091232,Asparagine-Linked Glycosylation,"Mannosyltransferase, involved in asparagine-linked glycosylation in the endoplasmic reticulum (ER); essential for viability, mutation is functionally complemented by human ortholog"
YIL022W,TIM44,0.006086374,0.003998894,0.00208748,Translocase of the Inner Mitochondrial membrane,Essential component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); tethers the import motor and regulatory factors (PAM complex) to the translocation channel (Tim23p-Tim17p core complex)
YOR157C,PUP1,0.006095325,0.011934794,0.005839469,PUtative Proteasome subunit,Beta 2 subunit of the 20S proteasome; endopeptidase with trypsin-like activity that cleaves after basic residues; synthesized as a proprotein before being proteolytically processed for assembly into 20S particle; human homolog is subunit Z
YNL158W,PGA1,0.006169449,0.007698751,0.001529302,Processing of Gas1p and ALP,"Essential component of GPI-mannosyltransferase II, responsible for second mannose addition to GPI precursors as a partner of Gpi18p; required for maturation of Gas1p and Pho8p; has synthetic genetic interations with secretory pathway genes"
YIL118W,RHO3,0.006229617,0.017083384,0.010853767,Ras HOmolog,Non-essential small GTPase of the Rho/Rac subfamily of Ras-like proteins involved in the establishment of cell polarity; GTPase activity positively regulated by the GTPase activating protein (GAP) Rgd1p
YMR301C,ATM1,0.006240995,0.00934061,0.003099616,"ABC Transporter, Mitochondrial","Mitochondrial inner membrane ATP-binding cassette (ABC) transporter, exports mitochondrially synthesized precursors of iron-sulfur (Fe/S) clusters to the cytosol"
YGR060W,ERG25,0.006302734,0.002701943,0.003600792,ERGosterol biosynthesis,"C-4 methyl sterol oxidase, catalyzes the first of three steps required to remove two C-4 methyl groups from an intermediate in ergosterol biosynthesis; mutants accumulate the sterol intermediate 4,4-dimethylzymosterol"
YCL031C,RRP7,0.006362937,0.005243527,0.00111941,Ribosomal RNA Processing,Essential protein involved in rRNA processing and ribosome biogenesis
YMR093W,UTP15,0.006375136,0.0067907,0.000415564,U Three Protein,"Nucleolar protein, component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA"
YGR158C,MTR3,0.006376948,0.001759756,0.004617192,MRNA TRansport,Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase PH and to human hMtr3p (EXOSC6)
YNL221C,POP1,0.006410813,0.012596316,0.006185503,Processing Of Precursor RNAs,"Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs; binds to the RPR1 RNA subunit in RNase P"
YMR235C,RNA1,0.006428593,0.009501484,0.003072891,RaN GTPase Activating protein,"GTPase activating protein (GAP) for Gsp1p, involved in nuclear transport"
YML049C,RSE1,0.006442893,0.002786479,0.003656414,RNA Splicing and ER to Golgi transport,Protein involved in pre-mRNA splicing; component of the pre-spliceosome; associates with U2 snRNA; involved in ER to Golgi transport
YLR071C,RGR1,0.006465933,-0.000324499,0.006790432,Resistant to Glucose Repression,"Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; required for glucose repression, HO repression, RME1 repression and sporulation"
YCR035C,RRP43,0.006491764,0.009181907,0.002690142,Ribosomal RNA Processing,"Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase PH and to human hRrp43p (OIP2, EXOSC8)"
YNL137C,NAM9,0.006516653,0.005449289,0.001067363,Nuclear Accommodation of Mitochondria,Mitochondrial ribosomal component of the small subunit
YPR086W,SUA7,0.006537272,-0.005427333,0.011964605,Suppressor of Upstream AUG,"Transcription factor TFIIB, a general transcription factor required for transcription initiation and start site selection by RNA polymerase II"
YBR038W,CHS2,0.006539295,0.009701532,0.003162238,CHitin Synthase,Chitin synthase II; catalyzes transfer of N-acetylglucosamine (GlcNAc) to chitin upon activation of zymogenic form; required for chitin synthesis in the primary septum during cytokinesis; localization regulated by Cdk1p during mitosis
YLR276C,DBP9,0.006594766,0.003079322,0.003515444,Dead Box Protein,"DEAD-box protein required for 27S rRNA processing; exhibits DNA, RNA and DNA/RNA helicase activities; ATPase activity shows preference for DNA over RNA; DNA helicase activity abolished by mutation in RNA-binding domain"
YIL026C,IRR1,0.006639521,-0.00211897,0.008758491,IRRegular,"Subunit of the cohesin complex, which is required for sister chromatid cohesion during mitosis and meiosis and interacts with centromeres and chromosome arms, essential for viability"
YGR156W,PTI1,0.00664498,0.008432761,0.001787781,PTa1p Interacting protein,Essential protein that is a component of CPF (cleavage and polyadenylation factor); involved in 3' end formation of snoRNA and mRNA; interacts directly with Pta1p; has similarity to mammalian Cleavage-Stimulation Factor CstF-64
YFR005C,SAD1,0.006732934,0.002315585,0.00441735,SnRNP Assembly Defective,"Conserved zinc-finger domain protein involved in pre-mRNA splicing, required for assembly of U4 snRNA into the U4/U6 particle"
YMR296C,LCB1,0.007002354,0.014714081,0.007711727,Long-Chain Base,"Component of serine palmitoyltransferase, responsible along with Lcb2p for the first committed step in sphingolipid synthesis, which is the condensation of serine with palmitoyl-CoA to form 3-ketosphinganine"
YDR434W,GPI17,0.007007223,0.000899448,0.006107775,GlycosylPhosphatidylInositol anchor biosynthesis,Transmembrane protein subunit of the glycosylphosphatidylinositol transamidase complex that adds GPIs to newly synthesized proteins; human PIG-S homolog
YHR023W,MYO1,0.007039887,-0.001735162,0.00877505,MYOsin,"Type II myosin heavy chain, required for wild-type cytokinesis and cell separation; localizes to the actomyosin ring; binds to myosin light chains Mlc1p and Mlc2p through its IQ1 and IQ2 motifs respectively"
YKL152C,GPM1,0.007058541,0.009418788,0.002360247,Glycerate PhosphoMutase,"Tetrameric phosphoglycerate mutase, mediates the conversion of 3-phosphoglycerate to 2-phosphoglycerate during glycolysis and the reverse reaction during gluconeogenesis"
YFL009W,CDC4,0.007106943,-0.003600482,0.010707425,Cell Division Cycle,"F-box protein required for G1/S and G2/M transition, associates with Skp1p and Cdc53p to form a complex, SCFCdc4, which acts as ubiquitin-protein ligase directing ubiquitination of the phosphorylated CDK inhibitor Sic1p"
YDL007W,RPT2,0.00711848,0.00466991,0.00244857,"Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase",One of six ATPases of the 19S regulatory particle of the 26S proteasome involved in the degradation of ubiquitinated substrates; required for normal peptide hydrolysis by the core 20S particle
YDR407C,TRS120,0.007123756,0.00384934,0.003274416,TRapp Subunit,One of 10 subunits of the transport protein particle (TRAPP) complex of the cis-Golgi which mediates vesicle docking and fusion; involved in endoplasmic reticulum (ER) to Golgi membrane traffic
YHR020W,,0.007186762,-0.000159173,0.007345934,0,"Protein of unknown function that may interact with ribosomes, based on co-purification experiments; has similarity to proline-tRNA ligase; YHR020W is an essential gene"
YMR290C,HAS1,0.007202973,,0.007202973,Helicase Associated with Set1,ATP-dependent RNA helicase; localizes to both the nuclear periphery and nucleolus; highly enriched in nuclear pore complex fractions; constituent of 66S pre-ribosomal particles
YNL216W,RAP1,0.007206927,-0.001508172,0.008715099,Repressor Activator Protein,"Essential DNA-binding transcription regulator that binds at many loci; involved in either transcription activation or repression, chromatin silencing, and telomere length maintenance; conserved protein with an N-terminal BRCT domain, a central region with homology to the Myb DNA binding domain, and a C-terminal Rap1-specific protein-interaction domain (RCT domain)"
YNL075W,IMP4,0.007244017,0.020036565,0.012792548,Interacting with Mpp10p,"Component of the SSU processome, which is required for pre-18S rRNA processing; interacts with Mpp10p; member of a superfamily of proteins that contain a sigma(70)-like motif and associate with RNAs"
YPR143W,RRP15,0.007298019,0.008701881,0.001403862,Ribosomal RNA Processing,"Nucleolar protein, constituent of pre-60S ribosomal particles; required for proper processing of the 27S pre-rRNA at the A3 and B1 sites to yield mature 5.8S and 25S rRNAs"
YBR029C,CDS1,0.007328432,0.01166069,0.004332258,CDP-Diacylglycerol Synthase,"Phosphatidate cytidylyltransferase (CDP-diglyceride synthetase); an enzyme that catalyzes that conversion of CTP + phosphate into diphosphate + CDP-diaclglyerol, a critical step in the synthesis of all major yeast phospholipids"
YML069W,POB3,0.007376314,0.005902211,0.001474103,POl1 Binding,"Subunit of the heterodimeric FACT complex (Spt16p-Pob3p), which associates with chromatin via interaction with Nhp6Ap and Nhp6Bp, and reorganizes nucleosomes to facilitate access to DNA by RNA and DNA polymerases"
YDL120W,YFH1,0.007388998,0.011389912,0.004000914,Yeast Frataxin Homolog,Mitochondrial matrix iron chaperone; oxidizes and stores iron; interacts with Isu1p to promote Fe-S cluster assembly; mutation results in multiple Fe/S-dependent enzyme deficiencies; human frataxin homolog is mutated in Friedrich's ataxia
YGR075C,PRP38,0.007450986,0.003166124,0.004284862,Pre-mRNA Processing,"Unique component of the U4/U6.U5 tri-snRNP particle, required for conformational changes which result in the catalytic activation of the spliceosome; dispensible for spliceosome assembly"
YNL026W,SAM50,0.007469721,0.001420783,0.006048937,Sorting and Assembly Machinery,"Essential component of the Sorting and Assembly Machinery (SAM or TOB complex) of the mitochondrial outer membrane, which binds precursors of beta-barrel proteins and facilitates their outer membrane insertion; homologous to bacterial Omp85"
YMR001C,CDC5,0.007488987,-0.010465723,0.017954711,Cell Division Cycle,"Polo-like kinase with multiple functions in mitosis and cytokinesis through substrate phosphorylation, also functions in adaptation to DNA damage during meiosis; has similarity to Xenopus Plx1 and S. pombe Plo1p; possible Cdc28p substrate"
YBR192W,RIM2,0.0074985,0.000458888,0.007039613,Replication In Mitochondria,Mitochondrial pyrimidine nucleotide transporter; imports pyrimidine nucleoside triphosphates and exports pyrimidine nucleoside monophosphates; member of the mitochondrial carrier family
YIL144W,NDC80,0.007535131,0.004665881,0.00286925,Two-hybrid Interaction with Dmc1p,"Component of the evolutionarily conserved kinetochore-associated Ndc80 complex (Ndc80p-Nuf2p-Spc24p-Spc25p); conserved coiled-coil protein involved in chromosome segregation, spindle checkpoint activity, kinetochore assembly and clustering"
YOR232W,MGE1,0.007551713,0.006499902,0.001051811,Mitochondrial GrpE,"Mitochondrial matrix cochaperone, acts as a nucleotide release factor for Ssc1p in protein translocation and folding; also acts as cochaperone for Ssq1p in folding of Fe-S cluster proteins; homolog of E. coli GrpE"
YOR326W,MYO2,0.007557953,-0.017435248,0.024993201,MYOsin,"One of two type V myosin motors (along with MYO4) involved in actin-based transport of cargos; required for the polarized delivery of secretory vesicles, the vacuole, late Golgi elements, peroxisomes, and the mitotic spindle"
YGR198W,YPP1,0.007641466,0.000293057,0.007348408,alpha-sYnuclein Protective Protein,Cargo-transport protein involved in endocytosis; interacts with phosphatidylinositol-4-kinase Stt4; GFP-fusion protein localizes to the cytoplasm; YGR198W is an essential gene
YPR183W,DPM1,0.007655159,0.013699108,0.006043949,Dolichol Phosphate Mannose synthase,"Dolichol phosphate mannose (Dol-P-Man) synthase of the ER membrane, catalyzes the formation of Dol-P-Man from Dol-P and GDP-Man; required for glycosyl phosphatidylinositol membrane anchoring, O mannosylation, and protein glycosylation"
YLR212C,TUB4,0.007768462,0.010847779,0.003079318,TUBulin,"Gamma-tubulin, involved in nucleating microtubules from both the cytoplasmic and nuclear faces of the spindle pole body"
YHR172W,SPC97,0.007777191,-0.006250105,0.014027296,Spindle Pole Component,Component of the microtubule-nucleating Tub4p (gamma-tubulin) complex; interacts with Spc110p at the spindle pole body (SPB) inner plaque and with Spc72p at the SPB outer plaque
YDR412W,RRP17,0.007792675,0.002033633,0.005759041,Ribosomal RNA Processing,Component of the pre-60S pre-ribosomal particle; required for cell viability under standard (aerobic) conditions but not under anaerobic conditions; exonuclease required for 5&#8242; end processing of pre-60S ribosomal RNA
YOR048C,RAT1,0.007831673,0.011017508,0.003185836,Ribonucleic Acid Trafficking,"Nuclear 5' to 3' single-stranded RNA exonuclease, involved in RNA metabolism, including rRNA and snRNA processing as well as poly (A+) dependent and independent mRNA transcription termination"
YMR168C,CEP3,0.007848439,0.009772288,0.001923849,CEntromere Protein,"Essential kinetochore protein, component of the CBF3 complex that binds the CDEIII region of the centromere; contains an N-terminal Zn2Cys6 type zinc finger domain, a C-terminal acidic domain, and a putative coiled coil dimerization domain"
YGL055W,OLE1,0.007863655,0.006293705,0.00156995,OLEic acid requiring,"Delta(9) fatty acid desaturase, required for monounsaturated fatty acid synthesis and for normal distribution of mitochondria"
YHR007C,ERG11,0.008059294,0.008912984,0.00085369,ERGosterol biosynthesis,"Lanosterol 14-alpha-demethylase; catalyzes the C-14 demethylation of lanosterol to form 4,4''-dimethyl cholesta-8,14,24-triene-3-beta-ol in the ergosterol biosynthesis pathway; member of the cytochrome P450 family; associated and coordinately regulated with the P450 reductase Ncp1p"
YNR038W,DBP6,0.008060201,0.001924205,0.006135996,Dead Box Protein,Essential protein involved in ribosome biogenesis; putative ATP-dependent RNA helicase of the DEAD-box protein family
YLR298C,YHC1,0.008085515,0.005373178,0.002712336,Yeast Homolog of human U1C,"Component of the U1 snRNP complex required for pre-mRNA splicing; putative ortholog of human U1C protein, which is involved in formation of a complex between U1 snRNP and the pre-mRNA 5' splice site"
YLR440C,SEC39,0.008126174,-2.54E-05,0.008151577,SECretory,Component of the Dsl1p tethering complex that interacts with ER SNAREs Sec20p and Use1p; proposed to be involved in protein secretion; localizes to the ER and nuclear envelope
YLR223C,IFH1,0.008151554,0.002380817,0.005770736,Interacts with Fork Head,"Coactivator that regulates transcription of ribosomal protein (RP) genes; recruited to RP gene promoters during optimal growth conditions via Fhl1p; subunit of CURI, a complex that coordinates RP production and pre-rRNA processing"
